"Word","frequency"
"the",48341
"and",24158
"for",11061
"that",10322
"you",9362
"with",7183
"was",6257
"this",5394
"have",5262
"are",4873
"but",4794
"not",4072
"from",3914
"its",3608
"all",3309
"will",3238
"they",3150
"just",3125
"your",3062
"said",3034
"his",2982
"about",2957
"out",2912
"one",2863
"has",2692
"like",2686
"when",2652
"what",2638
"who",2501
"can",2400
"more",2384
"had",2325
"were",2293
"get",2248
"time",2225
"her",2161
"there",2132
"would",2124
"their",2064
"some",2027
"she",1963
"been",1908
"new",1907
"good",1794
"dont",1759
"our",1734
"now",1715
"how",1702
"day",1673
"know",1622
"love",1590
"people",1573
"them",1566
"than",1466
"which",1461
"see",1425
"back",1424
"first",1393
"also",1356
"into",1356
"going",1296
"after",1286
"over",1262
"other",1239
"because",1237
"only",1236
"make",1234
"well",1231
"think",1229
"him",1224
"two",1224
"last",1211
"then",1206
"great",1197
"too",1164
"much",1159
"year",1154
"could",1151
"today",1132
"got",1130
"really",1126
"way",1121
"years",1113
"want",1106
"even",1082
"still",1043
"work",1037
"thanks",1028
"did",1009
"need",1008
"right",989
"off",980
"any",973
"here",953
"those",946
"very",945
"most",942
"where",938
"being",935
"down",931
"many",917
"say",916
"life",906
"before",886
"cant",881
"take",881
"should",865
"thats",863
"never",854
"come",843
"made",834
"little",832
"these",832
"home",819
"next",805
"week",787
"game",782
"while",768
"through",760
"school",758
"things",758
"may",754
"why",736
"night",732
"best",719
"something",715
"didnt",712
"another",711
"youre",711
"happy",694
"ive",694
"long",684
"look",673
"lol",670
"always",656
"state",653
"world",653
"around",650
"every",647
"better",641
"three",627
"big",615
"show",614
"feel",611
"man",607
"same",603
"few",595
"thing",592
"again",590
"use",588
"since",586
"follow",585
"such",580
"ever",577
"days",568
"help",565
"hope",563
"city",555
"sure",552
"says",545
"both",544
"lot",539
"ill",535
"find",529
"getting",525
"until",524
"keep",522
"team",522
"own",521
"looking",516
"thank",511
"part",508
"place",502
"tonight",501
"let",495
"away",494
"play",488
"family",487
"though",485
"does",484
"house",483
"each",482
"old",480
"doing",473
"used",473
"end",467
"start",467
"put",466
"give",462
