"Word","frequency"
"one of the",323
"a lot of",300
"thanks for the",256
"to be a",203
"going to be",191
"i want to",176
"as well as",142
"some of the",142
"the end of",140
"out of the",129
"it was a",126
"is going to",124
"i have a",122
"looking forward to",122
"i dont know",117
"the rest of",114
"be able to",113
"cant wait to",113
"part of the",113
"i need to",112
"i have to",110
"the first time",109
"this is a",103
"thank you for",101
"a couple of",97
"im going to",97
"i dont think",96
"in the world",94
"there is a",92
"you want to",92
"according to the",91
"end of the",91
"in front of",86
"one of my",85
"i love you",84
"of the year",84
"for the first",82
"i wanted to",81
"it is a",80
"at the end",79
"the united states",79
"in the middle",78
"it would be",78
"the fact that",78
"all of the",77
"most of the",77
"this is the",77
"to have a",77
"you have to",77
"for the follow",76
"in the first",76
"i feel like",75
"you have a",74
"it will be",73
"there is no",72
"to make a",72
"as much as",69
"dont want to",69
"rest of the",69
"to be the",69
"back to the",68
"have to be",68
"a little bit",67
"i had a",67
"i think i",66
"is one of",66
"if you want",65
"would like to",65
"i am not",64
"in the past",64
"to go to",64
"the same time",63
"was going to",63
"to get a",62
"of the day",61
"one of those",61
"all the time",60
"when it comes",60
"at the same",59
"i dont have",59
"let me know",59
"that would be",59
"a bit of",58
"to see the",58
"want to be",58
"at the time",57
"look forward to",57
"there was a",57
"i wish i",56
"if you have",56
"in the s",56
"it was the",56
"to see you",56
"is not a",55
"to get the",55
"to take a",55
"and i have",54
"going to have",54
"i cant wait",54
"i had to",54
"the middle of",54
"we need to",54
"when i was",54
"you need to",54
"in order to",53
"not going to",53
"what do you",53
"as long as",52
"it comes to",52
"of the most",52
"that i have",52
"the number of",52
"to do with",52
"were going to",52
"i know i",51
"i will be",51
"if you are",51
"are going to",50
"have a great",50
"side of the",50
"i dont want",49
"in my life",49
"the university of",49
"would love to",49
"and it was",48
"do you have",48
"i am a",48
"in new york",48
"that i am",47
"wait to see",47
"want to see",47
"cant wait for",46
"for the rt",46
"i have been",46
"in the morning",46
"look at the",46
"to be in",46
"we have a",46
"i have no",45
"i need a",45
"of the world",45
"the top of",45
"to make it",45
"up in the",45
"we have to",45
"a way to",44
"and i am",44
"and in the",44
"i know that",44
"i would have",44
"is in the",44
"is the best",44
"there will be",44
"will be a",44
"for a few",43
"for me to",43
"happy mothers day",43
"if you dont",43
"said in a",43
"will be the",43
"a series of",42
"as a result",42
"back in the",42
"because of the",42
"i decided to",42
"in addition to",42
"in the same",42
"that it was",42
"the bottom of",42
"the idea of",42
"a long time",41
"all the way",41
"i do not",41
"in love with",41
"that i was",41
"was one of",41
"we want to",41
"will have to",41
"a chance to",40
"and i dont",40
"by the time",40
"for a while",40
"i am going",40
"i love the",40
"needs to be",40
"over the past",40
"a number of",39
"and i was",39
"and it is",39
"know how to",39
"many of the",39
"on top of",39
"to create a",39
"top of the",39
"am going to",38
"be in the",38
"it is not",38
"more than a",38
"of the season",38
"one of them",38
"seems to be",38
"the same thing",38
"this is not",38
"to talk about",38
"would have been",38
"be sure to",37
"do you think",37
"for the next",37
"has been a",37
"is a good",37
"it has been",37
"it is the",37
"its going to",37
"need to be",37
"of the best",37
"so i can",37
"the new york",37
"to do that",37
"to make sure",37
"you so much",37
"a bunch of",36
"as soon as",36
"dont know what",36
"front of the",36
"how are you",36
"how do you",36
"in a statement",36
"looking for a",36
"of the first",36
"of the time",36
"there was no",36
"to look at",36
"we will be",36
"would be a",36
"you can see",36
"a little more",35
"a part of",35
"have to do",35
"i am so",35
"i love it",35
"in the united",35
"in the us",35
"is a great",35
"its hard to",35
"of the game",35
"that was a",35
"to do it",35
"used to be",35
"want to do",35
"a few years",34
"a great day",34
"any of the",34
"as far as",34
"as part of",34
"by the end",34
"i think it",34
"id like to",34
"in the last",34
"it to the",34
"of my favorite",34
"of my life",34
"so much for",34
"thanks so much",34
"that is the",34
"that they are",34
"the beginning of",34
"to get to",34
"to make the",34
