"Word","frequency"
"to see a",34
"to see what",34
"was in the",34
"at a time",33
"dont have a",33
"he was a",33
"i dont like",33
"i got a",33
"i think that",33
"more than million",33
"on the other",33
"percent of the",33
"said he was",33
"thanks for following",33
"to have to",33
"a few days",32
"a group of",32
"a lot more",32
"get out of",32
"had a great",32
"i hope you",32
"i went to",32
"if it is",32
"if you can",32
"in terms of",32
"in the city",32
"in the end",32
"it in the",32
"its been a",32
"thank you so",32
"up to the",32
"want to go",32
"check it out",31
"dont know if",31
"hope to see",31
"i was a",31
"i was in",31
"its time to",31
"just want to",31
"need to get",31
"of the state",31
"on the way",31
"part of a",31
"please follow me",31
"such as the",31
"supposed to be",31
"thought it was",31
"to deal with",31
"went to the",31
"what are you",31
"you for the",31
"and i think",30
"are you going",30
"away from the",30
"been able to",30
"but i am",30
"but i dont",30
"didnt want to",30
"due to the",30
"go to the",30
"he said he",30
"i didnt know",30
"in the face",30
"in the next",30
"is the most",30
"new york city",30
"to see how",30
"up with the",30
"was able to",30
"you going to",30
"a list of",29
"a variety of",29
"check out the",29
"dont have to",29
"first time in",29
"for more than",29
"going to the",29
"have no idea",29
"i cant believe",29
"i like to",29
"i think its",29
"i would like",29
"is the only",29
"member of the",29
"members of the",29
"of all the",29
"out in the",29
"the cost of",29
"the way to",29
"to be an",29
"to check out",29
"trying to get",29
"day of the",28
"i love my",28
"i thought it",28
"i used to",28
"i was going",28
"i was just",28
"i would love",28
"im not sure",28
"in the second",28
"in this case",28
"no matter what",28
"seem to be",28
"that he was",28
"the back of",28
"the name of",28
"to find a",28
"to see if",28
"and of course",27
"be the first",27
"but it was",27
"dont know how",27
"for the past",27
"have a good",27
"have a lot",27
"have to say",27
"he is a",27
"i miss you",27
"if i could",27
"in the area",27
"it can be",27
"it should be",27
"let us know",27
"more of a",27
"some of my",27
"take care of",27
"that it is",27
"that there is",27
"the ability to",27
"the only way",27
"to be on",27
"to figure out",27
"to work on",27
"up with a",27
"what to do",27
"you can get",27
"a few weeks",26
"a pair of",26
"and all the",26
"around the world",26
"go back to",26
"half of the",26
"happy new year",26
"have to go",26
"he said the",26
"i like the",26
"i think the",26
"i think this",26
"i think we",26
"in the early",26
"in the house",26
"is just a",26
"just wanted to",26
"much of the",26
"over the years",26
"the fukushima daiichi",26
"the only one",26
"the only thing",26
"the start of",26
"the time to",26
"there are a",26
"this is what",26
"to get out",26
"to get some",26
"to meet you",26
"to take the",26
"was on the",26
"we had a",26
"well as the",26
"wish i could",26
"you can do",26
"a good day",25
"according to a",25
"am to pm",25
"and a half",25
"and they are",25
"based on the",25
"bottom of the",25
"but i have",25
"did you know",25
"do the same",25
"for the new",25
"for you to",25
"has to be",25
"i love that",25
"i thought i",25
"is expected to",25
"it was an",25
"much as i",25
"of the night",25
"one of his",25
"out of my",25
"those of you",25
"to all of",25
"to all the",25
"to be able",25
"to have the",25
"to pay for",25
"to the point",25
"want to get",25
"was a great",25
"what is the",25
"when he was",25
"you know what",25
"a great time",24
"a member of",24
"and i will",24
"at the bottom",24
"at this point",24
"for those of",24
"going to do",24
"i get to",24
"i just got",24
"i just want",24
"i would be",24
"in recent years",24
"in san francisco",24
"in the fourth",24
"parts of the",24
"people in the",24
"the block of",24
"the department of",24
"the kind of",24
"the need to",24
"the white house",24
"there are no",24
"to do so",24
"to find out",24
"to keep the",24
"to see it",24
"to talk to",24
"was the first",24
"will have a",24
"you dont have",24
"you will be",24
"a good thing",23
"a great weekend",23
"and then i",23
"as i can",23
"at least a",23
"at the top",23
"be a good",23
"be on the",23
"but it is",23
"close to the",23
"for a long",23
"for a new",23
"for the most",23
"forward to the",23
"fun fun fun",23
"getting ready for",23
"getting ready to",23
"happy birthday to",23
"if i can",23
"im not going",23
"in the game",23
"it as a",23
"nuclear power plant",23
"of the other",23
"on the road",23
"over and over",23
"see you there",23
"so much more",23
"sounds like a",23
"that is a",23
"that was the",23
"the most important",23
"the next day",23
"the size of",23
"the time i",23
"this was a",23
"to do a",23
"to do this",23
"to get my",23
"to go back",23
"to use the",23
"update as of",23
"want to know",23
"want to make",23
"way to the",23
"when you have",23
"youre going to",23
"a year ago",22
"all of you",22
"and at the",22
"and will be",22
"bit of a",22
"but i cant",22
"come up with",22
"director of the",22
"feel free to",22
"feel like i",22
"for all the",22
"for the ff",22
"for the last",22
"great way to",22
"i had the",22
"i have the",22
"i think im",22
"i wonder if",22
"in a few",22
"in a row",22
"in los angeles",22
"in the future",22
"is trying to",22
"it to be",22
"looks like a",22
"make sure you",22
"may not be",22
"of the house",22
"of the same",22
"of the week",22
"one of our",22
"over the last",22
"thank you to",22
"that he has",22
"that i had",22
"the use of",22
"they want to",22
"they will be",22
"this is my",22
"to do the",22
"to say that",22
"to try to",22
"two of the",22
"what i was",22
"will be in",22
"with all the",22
"you know the",22
"a good idea",21
"all of us",21
"all over the",21
"alone alone alone",21
"at one point",21
"be one of",21
"but i think",21
"but im not",21
"by the way",21
"come to the",21
"could be a",21
"every time i",21
"for the rest",21
"get to the",21
"going to get",21
"he had a",21
"he has a",21
"i can get",21
"i didnt have",21
"i dont even",21
"i love this",21
"i still have",21
"if you need",21
"in my head",21
"in the air",21
"in the car",21
"in the country",21
"in the meantime",21
"in the state",21
"in the th",21
"is a little",21
"is not the",21
"is that the",21
"it looks like",21
"it on the",21
"its all about",21
"middle of the",21
"no idea what",21
"no matter how",21
"of more than",21
"of the way",21
"on the floor",21
"out to be",21
"out to the",21
"over the next",21
"spread the word",21
"that has been",21
"that i could",21
"that we are",21
"that we have",21
"that you can",21
"the death of",21
"the los angeles",21
"the one who",21
"the past few",21
"the same way",21
"the time of",21
"time for a",21
"to come to",21
"to know that",21
"to say i",21
"to start a",21
"to tell you",21
"to watch the",21
"told me that",21
"up to a",21
"what it is",21
"when i get",21
"would be the",21
"you dont want",21
"a few months",20
"a look at",20
"a man who",20
"a picture of",20
"a time when",20
"and have a",20
"and he was",20
"and i would",20
"and you can",20
"at some point",20
"back on the",20
"forward to seeing",20
"fukushima daiichi nuclear",20
"get rid of",20
"had no idea",20
"had to be",20
"has not been",20
"i am in",20
"i can do",20
"i could have",20
"i did not",20
"i find it",20
"i go to",20
"i got to",20
"i know it",20
"if i was",20
"im not a",20
"in the back",20
"in the new",20
"it was all",20
"it was so",20
"little bit of",20
"luxury vacation in",20
"many of them",20
"me and my",20
"of the new",20
"of the people",20
"of you who",20
"on the ground",20
"out of a",20
"part of my",20
"thanks for sharing",20
"that i would",20
"that is not",20
"that you are",20
"the form of",20
"the luxury vacation",20
"the people who",20
"the right to",20
"time to get",20
"to be done",20
"to build a",20
"to get back",20
"to listen to",20
"to work with",20
"vacation in italy",20
"wait for the",20
"whether or not",20
"will not be",20
"wish i had",20
"would have to",20
"you had a",20
"a few hours",19
"a few of",19
"a piece of",19
"a pretty good",19
"a sense of",19
"across the country",19
"an attempt to",19
"and for the",19
"and i are",19
"and i had",19
"and i want",19
"are in the",19
"are trying to",19
"but if you",19
"do you want",19
"for more information",19
"get back to",19
"i could go",19
"i try to",19
"i will have",19
"i woke up",19
"im trying to",19
"in the form",19
"is part of",19
"it was not",19
"know if you",19
"love to see",19
"of people who",19
"or at least",19
"president of the",19
"reminds me of",19
"shout out to",19
"so proud of",19
"so we can",19
"start of the",19
"thanks to the",19
"that i can",19
"that i dont",19
"that there are",19
"the age of",19
"the face of",19
"the importance of",19
"the last few",19
"the last time",19
"the majority of",19
"the power of",19
"to continue to",19
"to do is",19
"to do something",19
"to the new",19
"to the next",19
"to think about",19
"world war ii",19
"you guys are",19
"a few more",18
"a great way",18
"a lot to",18
"a total of",18
"and i love",18
"and that is",18
"are so many",18
"at the fukushima",18
"but i know",18
"can be found",18
"check out my",18
"cinco de mayo",18
"coffee coffee coffee",18
"could have been",18
"dont think i",18
"down to the",18
"even if it",18
"give me a",18
"go to sleep",18
"he did not",18
"he wanted to",18
"i am the",18
"i can tell",18
"i could be",18
"i get a",18
"i had no",18
"i have never",18
"i havent been",18
"i hope to",18
"i tried to",18
"i was thinking",18
"if there is",18
"if you do",18
"in a way",18
"in other words",18
"in the block",18
"in the case",18
"in the third",18
"is on the",18
"is such a",18
"is the first",18
"its a good",18
"last night i",18
"like to see",18
"looking at the",18
"more and more",18
"need to go",18
"not to mention",18
"out how to",18
"ready to go",18
"really want to",18
"rt if you",18
"should not be",18
"that will be",18
"thats what i",18
"the associated press",18
"the chance to",18
"the city of",18
"the first half",18
"the first to",18
"the hands of",18
"the hunger games",18
"the new jersey",18
"the other hand",18
"the people of",18
"the same as",18
"the type of",18
"the way i",18
"the world is",18
"the world of",18
"there have been",18
"this is going",18
"to go through",18
"up for the",18
"was a good",18
"was trying to",18
"way to go",18
"whats going on",18
"when they were",18
"when you get",18
"who wants to",18
"will continue to",18
"you can find",18
"you know how",18
"you know that",18
"youve got to",18
"a few minutes",17
"a long way",17
"a result of",17
"addition to the",17
"all of our",17
"and i know",17
"and if you",17
"and thank you",17
"and the other",17
"and there is",17
"and this is",17
"as good as",17
"based on a",17
"be a great",17
"because they are",17
"being able to",17
"but this is",17
"can be a",17
"dont forget to",17
"for all of",17
"for the day",17
"get to see",17
"go to bed",17
"hanging out with",17
"have been a",17
"he said i",17
"hope you are",17
"i dont care",17
"i feel so",17
"i know what",17
"i look forward",17
"i love your",17
"id love to",17
"if youre not",17
"im about to",17
"im in the",17
"im pretty sure",17
"in my mind",17
"in san diego",17
"in the day",17
"in the playoffs",17
"in the top",17
"in which the",17
"involved in the",17
"it does not",17
"it may be",17
"it was just",17
"its a great",17
"just a few",17
"know i am",17
"know what i",17
"last year and",17
"let you know",17
"lot of people",17
"not in the",17
"of the month",17
"on the back",17
"on the side",17
"so i could",17
"so much fun",17
"thanks to all",17
"that i will",17
"that there was",17
"the early s",17
"the first place",17
"the heart of",17
"the history of",17
"the middle east",17
"the next few",17
"the one that",17
"the opportunity to",17
"the other side",17
"the quality of",17
"the s and",17
"the side of",17
"the story of",17
"the value of",17
"there are many",17
"there are so",17
"theres a lot",17
"to come out",17
"to find the",17
"to focus on",17
"to get in",17
"to say the",17
"to win a",17
"to win the",17
"up on the",17
"version of the",17
"was a little",17
"we are the",17
"we had to",17
"we have been",17
"we went to",17
"what i am",17
"who you are",17
"will always be",17
"with a few",17
"with the same",17
"would not be",17
"you and your",17
"you are not",17
"you dont know",17
"you have any",17
"you would like",17
"a handful of",16
"all is well",16
"all of my",16
"all of them",16
"all of this",16
"and his wife",16
"any of you",16
"as you can",16
"at the moment",16
"be part of",16
"but i do",16
"but there is",16
"come back to",16
"couple of days",16
"do not have",16
"do you know",16
"earlier this year",16
"for a little",16
"for being a",16
"for me and",16
"for the best",16
"for the mention",16
"give you a",16
"going to bed",16
"got to be",16
"has always been",16
"have to get",16
"have you been",16
"he told me",16
"he wants to",16
"i am still",16
"i dont see",16
"i havent seen",16
"i just wanted",16
"i know the",16
"i know you",16
"i would not",16
"i would say",16
"if you havent",16
"in an interview",16
"in the final",16
"in the movie",16
"in the process",16
"in your life",16
"is to be",16
"is what i",16
"it could be",16
"its one of",16
"its time for",16
"just going to",16
"just have to",16
"less than a",16
"living in the",16
"me know if",16
"me want to",16
"more than years",16
"need to know",16
"new york times",16
"not want to",16
"of the biggest",16
"of the city",16
"on my way",16
"on the day",16
"on the field",16
"on the phone",16
"on the radio",16
"out on the",16
"over to the",16
"part of it",16
"place in the",16
"play in the",16
"seemed to be",16
"should be a",16
"some kind of",16
"some of them",16
"that he is",16
"that kind of",16
"that this is",16
"that would have",16
"the city and",16
"the day of",16
"the edge of",16
"the first one",16
"the help of",16
"the most part",16
"the price of",16
"the way the",16
"the world and",16
"they are not",16
"this is one",16
"this kind of",16
"this week i",16
"time for the",16
"to change the",16
"to have you",16
"to me that",16
"to pick up",16
"tokyo electric power",16
"two years ago",16
"we dont have",16
"what kind of",16
"will be available",16
"you can make",16
"you in the",16
"you know i",16
"you look at",16
"a matter of",15
"a ton of",15
"a trip to",15
"about to be",15
"along the way",15
"and had a",15
"and i just",15
"and i really",15
"and no one",15
"and the rest",15
"as one of",15
"at least one",15
"be the best",15
"but i didnt",15
"but in the",15
"chance to win",15
"couple of weeks",15
"daiichi nuclear power",15
"do not know",15
"even if you",15
"figure out how",15
"find a way",15
"for a great",15
"for at least",15
"for me i",15
"for some reason",15
"for us to",15
"for years and",15
"good to know",15
"got out of",15
"hard to get",15
"has been in",15
"have a few",15
"have never been",15
"have to take",15
"he was the",15
"here is the",15
"him to be",15
"i cant even",15
"i didnt even",15
"i dont really",15
"i had been",15
"i have an",15
"i know its",15
"i live in",15
"i took a",15
"i was able",15
"i wont be",15
"if i had",15
"if it was",15
"if they are",15
"im so excited",15
"in all the",15
"in favor of",15
"in one of",15
"in the way",15
"is a very",15
"is full of",15
"is there a",15
"it for the",15
"it is to",15
"know that i",15
"like to be",15
"make it a",15
"make sure that",15
"me that i",15
"more than the",15
"my year old",15
"need to make",15
"not to be",15
"of a new",15
"on the first",15
"on the new",15
"on the right",15
"one of these",15
"out of his",15
"ready for the",15
"said it was",15
"salt and pepper",15
"so you can",15
"that in the",15
"that we can",15
"thats why i",15
"the amount of",15
"the case of",15
"the spirit of",15
"the state of",15
"they have to",15
"they need to",15
"they would have",15
"think this is",15
"this will be",15
"to be made",15
"to be more",15
"to go out",15
"to go with",15
"to have an",15
"to one of",15
"to take care",15
"to the city",15
"trying to be",15
"wait to get",15
"wanted to be",15
"was born in",15
"we all know",15
"we can get",15
"were able to",15
"what happened to",15
"what is your",15
"when i saw",15
"when it was",15
"when you are",15
"who has been",15
"who have been",15
"will be able",15
"with one of",15
"with the help",15
"you are a",15
"you if you",15
"a bad thing",14
"a good job",14
"a good time",14
"a good way",14
"a hard time",14
"a lack of",14
"about percent of",14
"all of those",14
"all sorts of",14
"an effort to",14
"and i cant",14
"and out of",14
"and some of",14
"and there was",14
"are you doing",14
"as it was",14
"as many as",14
"as opposed to",14
"at least i",14
"at the beginning",14
"at the university",14
"back into the",14
"because i dont",14
"chairman of the",14
"contributed to this",14
"dont even know",14
"earlier this month",14
"electric power co",14
"even if the",14
"family and friends",14
"fell in love",14
"first time i",14
"follow me i",14
"for one of",14
"for those who",14
"from am to",14
"hall of fame",14
"have a new",14
"have not been",14
"he had been",14
"head of the",14
"hope all is",14
"i could get",14
"i didnt get",14
"i guess i",14
"i have not",14
"i know right",14
"i like it",14
"i love how",14
"i should be",14
"i think you",14
"i wanna go",14
"i was at",14
"if i were",14
"if they were",14
"in a new",14
"in a very",14
"in fact the",14
"in more than",14
"in need of",14
"in on the",14
"in real life",14
"in the background",14
"in the dark",14
"in the right",14
"in the series",14
"in the summer",14
"is also a",14
"is no longer",14
"is supposed to",14
"it makes me",14
"it takes a",14
"its not a",14
"just a little",14
"know what to",14
"learn how to",14
"love you too",14
"makes me feel",14
"minutes or until",14
"more of the",14
"mothers day to",14
"must have been",14
"need to do",14
"none of the",14
"not have a",14
"now i have",14
"of the last",14
"of the second",14
"of the states",14
"of the story",14
"of their own",14
"of your life",14
"on its own",14
"on the board",14
"on the front",14
"on the internet",14
"on the same",14
"on your own",14
"out on a",14
"people who are",14
"president barack obama",14
"role in the",14
"said she was",14
"say that i",14
"sides of the",14
"sitting in the",14
"so i have",14
"so it was",14
"so many people",14
"talk about the",14
"that is what",14
"that you have",14
"the best of",14
"the best way",14
"the day i",14
"the difference between",14
"the first three",14
"the fourth quarter",14
"the idea that",14
"the lack of",14
"the last two",14
"the late s",14
"the need for",14
"the new year",14
"the other day",14
"the shout out",14
"the super bowl",14
"the things that",14
"the way we",14
"the whole thing",14
"them in the",14
"there are some",14
"they are the",14
"this is just",14
"to get into",14
"to get it",14
"to me and",14
"to return to",14
"to see that",14
"to tell me",14
"to the other",14
"to the public",14
"to the world",14
"to use it",14
"to work out",14
"trying to make",14
"was at the",14
"water into the",14
"we are all",14
"we are going",14
"we do not",14
"went on to",14
"were in the",14
"while i was",14
"who do not",14
"will be on",14
"working on a",14
"would not have",14
"you at the",14
"you do not",14
"you should be",14
"you will have",14
"a copy of",13
"a good one",13
"a whole lot",13
"and all of",13
"and by the",13
"and has been",13
"and i can",13
"and i could",13
"and i hope",13
"and im not",13
"and on the",13
"and that the",13
"and then the",13
"and we will",13
"are the best",13
"as i am",13
"as it is",13
"as of pm",13
"back to my",13
"because it is",13
"beginning of the",13
"best way to",13
"but i was",13
"but its a",13
"but they are",13
"can do it",13
"day in the",13
"day to all",13
"depending on the",13
"does not have",13
"even if they",13
"feel like im",13
"few years ago",13
"follow me back",13
"for him to",13
"forward to it",13
"front of me",13
"get ready for",13
"give it a",13
"had a good",13
"has become a",13
"has yet to",13
"have a little",13
"he is the",13
"he was going",13
"he was in",13
"here is a",13
"how did you",13
"i didnt want",13
"i dont wanna",13
"i hate when",13
"i have seen",13
"i just dont",13
"i just love",13
"i knew that",13
"i know but",13
"i know how",13
"i made this",13
"i needed to",13
"i really like",13
"i told her",13
"i want you",13
"i was so",13
"i will never",13
"i will not",13
"if i am",13
"if you could",13
"if you look",13
"if you love",13
"if you were",13
"if you would",13
"im looking forward",13
"in a long",13
"in a while",13
"in high school",13
"in the nba",13
"is based on",13
"is more than",13
"is scheduled to",13
"is something that",13
"it has to",13
"it is an",13
"it is in",13
"it is still",13
"it seems like",13
"it turns out",13
"keep up with",13
"learn more about",13
"left in the",13
"live in a",13
"look like a",13
"made it to",13
"make sure to",13
"meant to be",13
"might be the",13
"might not be",13
"millirem per hour",13
"mobile south carolina",13
"most of them",13
"much for the",13
"my best friend",13
"my husband and",13
"my way to",13
"need to find",13
"need to take",13
"new york and",13
"next time i",13
"next to me",13
"nice to meet",13
"nothing to do",13
"of pm edt",13
"of the american",13
"of the country",13
"of the greatest",13
"of the top",13
"of the us",13
"of them are",13
"on how to",13
"one of us",13
"only a few",13
"only way to",13
"out of it",13
"out of this",13
"out of your",13
"over the weekend",13
"people who have",13
"ready for a",13
"right now but",13
"said i dont",13
"said that the",13
"said they were",13
"she is a",13
"should have been",13
"so i decided",13
"something to do",13
"taking care of",13
"talk to me",13
"the board of",13
"the cause of",13
"the first few",13
"the first round",13
"the first thing",13
"the first two",13
"the mobile south",13
"the next two",13
"the past two",13
"the point of",13
"the point where",13
"the problem is",13
"the process of",13
"the regular season",13
"the right thing",13
"the role of",13
"the season and",13
"the things i",13
"the time and",13
"the used fuel",13
"there are two",13
"there is an",13
"there were a",13
"they have a",13
"theyre going to",13
"think about it",13
"think it was",13
"this was the",13
"to be sure",13
"to get rid",13
"to give you",13
"to go home",13
"to help me",13
"to leave the",13
"to make this",13
"to play in",13
"to see him",13
"to see them",13
"to the hospital",13
"to wake up",13
"united states and",13
"was the most",13
"way to get",13
"welcome to the",13
"were trying to",13
"what are the",13
"what are your",13
"what i mean",13
"what would you",13
"when i first",13
"when i say",13
"where are you",13
"wish i was",13
"years in the",13
"you and i",13
"you are in",13
"you are so",13
"you are the",13
"you can be",13
"you get a",13
"you go to",13
"you know its",13
"you like to",13
"a bit more",12
"a brand new",12
"a cup of",12
"a great job",12
"a place to",12
"a place where",12
"a sort of",12
"a way of",12
"about a year",12
"and a little",12
"and all that",12
"and i were",12
"and in a",12
"and one of",12
"are some of",12
"as of am",12
"at least two",12
"at the site",12
"aware of the",12
"back and forth",12
"back from the",12
"be a part",12
"be at the",12
"be in a",12
"because it was",12
"been working on",12
"best of luck",12
"better than the",12
"between the two",12
"but at least",12
"but its not",12
"but when i",12
"came to the",12
"check out our",12
"come out of",12
"dont have any",12
"down the street",12
"exactly what i",12
"familiar with the",12
"for a couple",12
"for a week",12
"for about a",12
"for it to",12
"for people to",12
"for the season",12
"for the shout",12
"for the week",12
"from the beginning",12
"from the start",12
"game of the",12
"going to try",12
"going to work",12
"good luck to",12
"great to see",12
"had a chance",12
"had a lot",12
"happened to me",12
"has a lot",12
"has been the",12
"have plenty of",12
"have the same",12
"have you ever",12
"have you seen",12
"he and his",12
"he has been",12
"he would have",12
"high school and",12
"hope you had",12
"how can you",12
"i could see",12
"i decided that",12
"i dont understand",12
"i ended up",12
"i found a",12
"i had my",12
"i hate it",12
"i love to",12
"i never thought",12
"i really want",12
"i see you",12
"i told him",12
"i was very",12
"in a good",12
"in case you",12
"in honor of",12
"in my heart",12
"in my opinion",12
"in response to",12
"in st louis",12
"in the community",12
"in the film",12
"in the league",12
"in the mail",12
"information about the",12
"is a new",12
"is about to",12
"is all about",12
"is gonna be",12
"is that i",12
"it but i",12
"it in a",12
"it is also",12
"it is so",12
"it up and",12
"it was really",12
"it was time",12
"its just a",12
"ive never been",12
"just for the",12
"know if i",12
"known as the",12
"last week i",12
"led to the",12
"live in the",12
"lot of fun",12
"lot of things",12
"love to hear",12
"majority of the",12
"make it to",12
"makes me want",12
"may have been",12
"me and i",12
"me on the",12
"might be a",12
"more about the",12
"more than just",12
"more than one",12
"my life and",12
"not a bad",12
"not a good",12
"not have been",12
"not have the",12
"not have to",12
"not sure if",12
"of am edt",12
"of the great",12
"of the s",12
"of the two",12
"on my own",12
"on the market",12
"on the street",12
"on the table",12
"on the th",12
"on to the",12
"out for the",12
"part of this",12
"reminded me of",12
"see you at",12
"since i was",12
"so i am",12
"so i dont",12
"so much i",12
"spokesman for the",12
"st louis county",12
"still in the",12
"such a good",12
"take a look",12
"thanks for your",12
"that i think",12
"that not only",12
"that she had",12
"that she was",12
"the course of",12
"the last years",12
"the second half",12
"the second round",12
"the subject of",12
"the summer of",12
"the way you",12
"the winner of",12
"the work of",12
"they dont have",12
"they have been",12
"this book is",12
"those were the",12
"those who do",12
"thought i was",12
"thought it would",12
"three of the",12
"time in the",12
"to all my",12
"to be back",12
"to be seen",12
"to become a",12
"to buy a",12
"to come back",12
"to do to",12
"to do what",12
"to everyone who",12
"to get up",12
"to give it",12
"to go and",12
"to go for",12
"to help the",12
"to keep up",12
"to learn more",12
"to participate in",12
"to start the",12
"to stay in",12
"to the right",12
"to think that",12
"to worry about",12
"to write a",12
"try not to",12
"turned out to",12
"up for a",12
"use of the",12
"waiting for the",12
"want you to",12
"wanted to get",12
"was a bit",12
"was a very",12
"was ready to",12
"water in the",12
"we get to",12
"we have the",12
"wed love to",12
"what a great",12
"what the hell",12
"which is a",12
"who i am",12
"why are you",12
"why dont you",12
"will also be",12
"will be there",12
"will give you",12
"with more than",12
"with the new",12
"you can also",12
"you have an",12
"you may have",12
"you think you",12
"you will get",12
"a beautiful day",11
"a fan of",11
"a few things",11
"a guy who",11
"a little too",11
"a way that",11
"able to get",11
"all about the",11
"all kinds of",11
"all of your",11
"and a couple",11
"and as a",11
"and how to",11
"and i feel",11
"and its a",11
"and lots of",11
"and more than",11
"and now i",11
"and ready to",11
"and she is",11
"and so on",11
"and the first",11
"and tried to",11
"and was a",11
"and when you",11
"appears to be",11
"are a few",11
"are expected to",11
"are looking for",11
"are on the",11
"as a way",11
"as i have",11
"asked if he",11
"at that point",11
"awkward moment when",11
"back of the",11
"be available for",11
"be the same",11
"because i have",11
"because i know",11
"because of a",11
"because of that",11
"believed to be",11
"but at the",11
"but he said",11
"but he was",11
"but i did",11
"but there are",11
"but there was",11
"can i get",11
"can tell you",11
"closer to the",11
"come out and",11
"compared to the",11
"congrats to the",11
"couple of years",11
"do with the",11
"dont believe in",11
"dont have the",11
"dont like it",11
"down the road",11
"during the day",11
"each other and",11
"edge of the",11
"even though i",11
"except for the",11
"excited to be",11
"executive director of",11
"fact that i",11
"for a moment",11
"for following me",11
"for the weekend",11
"friend of mine",11
"from the first",11
"gave me a",11
"get used to",11
"glad to see",11
"go for the",11
"going back to",11
"going on in",11
"going to go",11
"going to play",11
"going to see",11
"going to take",11
"had to do",11
"has never been",11
"have a nice",11
"have a wonderful",11
"have so much",11
"have to make",11
"he said that",11
"how much you",11
"how to get",11
"how to make",11
"i bought a",11
"i cant get",11
"i cant help",11
"i could not",11
"i dont get",11
"i got the",11
"i guess im",11
"i hate that",11
"i hate the",11
